population,origin,destination,toFromPrefix,shareOfCar,shareOfScooter,shareOfTrain,shareOfTaxi,shareOfMRT,shareOfBus,shareOfBike,shareOfWalk
680,C02,C02,基隆市七堵區-基隆市七堵區,0.148529412,0.505882353,0.020588235,0,0,0.098529412,0,0.226470588
10,C02,C05,基隆市七堵區-基隆市中山區,0,0,0,0,0,1,0,0
93,C02,C01,基隆市七堵區-基隆市中正區,0.182795699,0.537634409,0.172043011,0,0,0.107526882,0,0
84,C02,C04,基隆市七堵區-基隆市仁愛區,0,0.392857143,0,0,0,0.607142857,0,0
64,C02,C07,基隆市七堵區-基隆市信義區,0.3125,0.25,0.21875,0,0,0.21875,0,0
69,C02,C06,基隆市七堵區-基隆市安樂區,0.623188406,0.376811594,0,0,0,0,0,0
48,C02,F18,基隆市七堵區-新北市中和區,0.708333333,0.291666667,0,0,0,0,0,0
30,C02,F01,基隆市七堵區-新北市新莊區,1,0,0,0,0,0,0,0
341,C02,F28,基隆市七堵區-新北市汐止區,0.357771261,0.472140762,0.041055718,0,0,0.129032258,0,0
20,C02,F27,基隆市七堵區-新北市淡水區,0,1,0,0,0,0,0,0
20,C02,F21,基隆市七堵區-新北市瑞芳區,0,0,1,0,0,0,0,0
16,C02,H03,基隆市七堵區-桃園市中壢區,1,0,0,0,0,0,0,0
20,C02,A10,基隆市七堵區-臺北市中山區,1,0,0,0,0,0,0,0
45,C02,A03,基隆市七堵區-臺北市中正區,1,0,0,0,0,0,0,0
41,C02,A17,基隆市七堵區-臺北市信義區,0.609756098,0,0.390243902,0,0,0,0,0
57,C02,A14,基隆市七堵區-臺北市內湖區,0.175438596,0.280701754,0.298245614,0,0.245614035,0,0,0
85,C02,A13,基隆市七堵區-臺北市南港區,0,0.623529412,0.376470588,0,0,0,0,0
14,C02,A15,基隆市七堵區-臺北市士林區,0,0,1,0,0,0,0,0
37,C02,A02,基隆市七堵區-臺北市大安區,0.621621622,0,0.378378378,0,0,0,0,0
30,C02,A01,基隆市七堵區-臺北市松山區,0,0,1,0,0,0,0,0
79,C05,C02,基隆市中山區-基隆市七堵區,0.506329114,0.202531646,0,0,0,0.291139241,0,0
561,C05,C05,基隆市中山區-基隆市中山區,0.14973262,0.427807487,0,0,0,0.311942959,0,0.110516934
160,C05,C01,基隆市中山區-基隆市中正區,0,0.8375,0,0,0,0.1625,0,0
367,C05,C04,基隆市中山區-基隆市仁愛區,0.038147139,0.534059946,0,0,0,0.384196185,0,0.04359673
142,C05,C07,基隆市中山區-基隆市信義區,0.161971831,0.478873239,0,0,0,0.14084507,0,0.218309859
195,C05,C06,基隆市中山區-基隆市安樂區,0,0.666666667,0,0,0,0.251282051,0,0.082051282
43,C05,C03,基隆市中山區-基隆市暖暖區,0.534883721,0.465116279,0,0,0,0,0,0
20,C05,F14,基隆市中山區-新北市板橋區,0,1,0,0,0,0,0,0
74,C05,F28,基隆市中山區-新北市汐止區,0.459459459,0.27027027,0,0,0,0,0.27027027,0
16,C05,F31,基隆市中山區-新北市石門區,1,0,0,0,0,0,0,0
15,C05,F24,基隆市中山區-新北市貢寮區,0,1,0,0,0,0,0,0
25,C05,F25,基隆市中山區-新北市金山區,0,1,0,0,0,0,0,0
73,C05,A10,基隆市中山區-臺北市中山區,0.589041096,0,0,0,0,0.410958904,0,0
65,C05,A17,基隆市中山區-臺北市信義區,0.384615385,0,0,0,0,0.615384615,0,0
