"","TripPurpose","Mode","Driver","Transfer","Gender","Age","Marriage","Occupation","EducationLevel","HHSize","HHChildren","HHWorker","HHIncome","HHCarOwnership","HHScooterOwnership","HHLicenses","HHScooterLicenses","PersonalCarLicense","ScooterLicense","Car_avail","Scooter_avail","LongDistTrain_avail","Taxi_avail","MRT_avail","Bus_avail","Bike_avail","Walk_avail","Cost_Car","Cost_Scooter","Cost_LongDistTrain","Cost_Taxi","Cost_MRT","Cost_Bus","Cost_Bike","Cost_Walk","TravelTime_Car","TravelTime_Scooter","TravelTime_LongDistTrain","TravelTime_Taxi","TravelTime_MRT","TravelTime_Bus","TravelTime_Bike","TravelTime_Walk","InVehTime_Car","InVehTime_Scooter","InVehTime_LongDistTrain","InVehTime_Taxi","InVehTime_MRT","InVehTime_Bus","InVehTime_Bike","InVehTime_Walk","OutOfVehTime_Car","OutOfVehTime_Scooter","OutOfVehTime_LongDistTrain","OutOfVehTime_Taxi","OutOfVehTime_MRT","OutOfVehTime_Bus","OutOfVehTime_Bike","OutOfVehTime_Walk","AETime_Car","AETime_Scooter","AETime_LongDistTrain","AETime_Taxi","AETime_MRT","AETime_Bus","AETime_Bike","AETime_Walk","WaitTime_Car","WaitTime_Scooter","WaitTime_LongDistTrain","WaitTime_Taxi","WaitTime_MRT","WaitTime_Bus","WaitTime_Bike","WaitTime_Walk","VOT_Car","VOT_Scooter","VOT_LongDistTrain","VOT_Taxi","VOT_MRT","VOT_Bus","VOT_Bike","VOT_Walk","InVehVOT_Car","InVehVOT_Scooter","InVehVOT_LongDistTrain","InVehVOT_Taxi","InVehVOT_MRT","InVehVOT_Bus","InVehVOT_Bike","InVehVOT_Walk","OutVehVOT_Car","OutVehVOT_Scooter","OutVehVOT_LongDistTrain","OutVehVOT_Taxi","OutVehVOT_MRT","OutVehVOT_Bus","OutVehVOT_Bike","OutVehVOT_Walk","Weight","City"
"1",1,1,1,0,0,4,0,6,3,1,0,1,70000,1,0,0,0,1,1,1,0,0,1,1,1,1,1,75,20.68,30,415,24.3,30,20,0,33,37.63,66.1071428571429,37.4,49.5848739495798,61.9368863955119,85.2666666666667,450,30,30,11.25,30,26.4705882352941,39.1304347826087,75,450,3,7.63,54.8571428571429,7.4,23.1142857142857,22.8064516129032,10.2666666666667,450,3,7.63,38.5714285714286,1.6,15.7142857142857,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,7.4,8.45161290322581,0,0,216.48,198.5518,377.383928571429,545.476,310.007697478992,296.611640953717,395.446,3537,192.9,138.58,74.2125,532.9,128.329411764706,183.782608695652,314.75,0,23.58,59.9718,303.171428571429,12.576,181.678285714286,112.829032258065,80.696,3537,3.536,4
"2",1,6,0,1,0,2,0,1,3,3,0,3,70000,1,2,1,3,0,1,1,1,0,1,1,1,1,1,99.2695035460993,21.0133333333333,30.6666666666667,423.333333333333,24.4466666666667,22,20,0,38.7943262411348,38.2966666666667,66.3571428571429,38.0666666666667,53.1403838130997,73,86.9333333333333,460,30.6666666666667,30.6666666666667,11.5,30.6666666666667,27.0588235294118,40,76.6666666666667,460,8.12765957446809,7.63,54.8571428571429,7.4,26.0815602836879,33,10.2666666666667,460,8.12765957446809,7.63,38.5714285714286,1.6,21.613475177305,13,10.2666666666667,0,0,0,16.2857142857143,5.8,4.46808510638298,20,0,0,283.672907801418,201.505133333333,379.033095238095,556.429333333333,335.788906967042,438.58,401.996,3615.6,219.789503546099,141.533333333333,75.8616666666667,543.853333333333,130.787843137255,179.2,321.3,0,63.8834042553191,59.9718,303.171428571429,12.576,205.001063829787,259.38,80.696,3615.6,1,2
"3",9,5,0,1,0,2,0,11,3,3,0,3,125000,1,1,4,2,1,0,1,1,1,1,1,1,1,1,61.7695035460993,8.51333333333333,5.66666666666667,110.833333333333,20,15,2.5,0,13.7943262411348,13.2966666666667,56.9821428571429,13.0666666666667,21,30.1977559607293,24.4333333333333,85,5.66666666666667,5.66666666666667,2.125,5.66666666666667,5,7.39130434782609,14.1666666666667,85,8.12765957446809,7.63,54.8571428571429,7.4,16,22.8064516129032,10.2666666666667,85,8.12765957446809,7.63,38.5714285714286,1.6,14,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,2,8.45161290322581,0,0,147.922907801418,90.7551333333333,317.189345238095,145.679333333333,165.41,156.876858345021,138.871,668.1,84.0395035460993,30.7833333333333,14.0179166666667,133.103333333333,39.65,44.0478260869565,58.175,0,63.8834042553192,59.9718,303.171428571429,12.576,125.76,112.829032258065,80.696,668.1,1,2
"4",3,2,0,0,0,2,1,11,3,5,0,3,70000,1,2,3,3,0,0,1,1,0,1,1,1,1,1,68.2695035460993,5,10,165,19.9,15,2.5,0,18.1276595744681,12,58.6071428571429,17.4,34.9050896954526,35.8499298737728,35.2666666666667,150,10,10,3.75,10,8.82352941176471,13.0434782608696,25,150,8.12765957446809,2,54.8571428571429,7.4,26.0815602836879,22.8064516129032,10.2666666666667,150,8.12765957446809,2,38.5714285714286,1.6,21.613475177305,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,4.46808510638298,8.45161290322581,0,0,171.452907801418,60.02,327.908928571429,216.876,259.577534418023,179.089901823282,181.446,1179,107.569503546099,44.3,24.7375,204.3,54.5764705882353,66.2608695652174,100.75,0,63.8834042553192,15.72,303.171428571429,12.576,205.001063829787,112.829032258065,80.696,1179,1,2
"5",1,5,0,1,1,2,0,4,4,4,0,4,250000,2,3,4,3,1,1,1,1,0,1,1,1,1,1,104.269503546099,22.68,34,465,30,30,20,0,42.1276595744681,41.63,67.6071428571429,41.4,58,67.1542776998597,95.2666666666667,510,34,34,12.75,34,30,44.3478260869565,85,510,8.12765957446809,7.63,54.8571428571429,7.4,28,22.8064516129032,10.2666666666667,510,8.12765957446809,7.63,38.5714285714286,1.6,25,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,3,8.45161290322581,0,0,301.772907801418,216.2718,387.278928571429,611.196,367.98,317.115988779804,434.746,4008.6,237.889503546099,156.3,84.1075,598.62,147.9,204.286956521739,354.05,0,63.8834042553192,59.9718,303.171428571429,12.576,220.08,112.829032258065,80.696,4008.6,1.109,1
"6",1,5,0,0,0,2,0,4,4,4,0,2,175000,1,1,4,3,1,0,1,1,1,1,1,1,1,1,78.7695035460993,14.18,17,252.5,25,15,12.5,0,25.1276595744681,24.63,61.2321428571429,24.4,36,44.9803646563815,52.7666666666667,255,17,17,6.375,17,15,22.1739130434783,42.5,255,8.12765957446809,7.63,54.8571428571429,7.4,21,22.8064516129032,10.2666666666667,255,8.12765957446809,7.63,38.5714285714286,1.6,18,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,3,8.45161290322581,0,0,209.462907801418,140.9618,345.225178571429,331.886,249.01,214.972510518934,260.221,2004.3,145.579503546099,80.99,42.05375,319.31,83.95,102.14347826087,179.525,0,63.8834042553192,59.9718,303.171428571429,12.576,165.06,112.829032258065,80.696,2004.3,1,2
"7",1,5,0,0,0,3,0,4,4,3,0,2,125000,1,0,1,1,0,0,1,0,0,1,1,1,1,1,70.2695035460993,11.3466666666667,11.3333333333333,181.666666666667,20,15,2.5,0,19.4609929078014,18.9633333333333,59.1071428571429,18.7333333333333,22,37.5890603085554,38.6,170,11.3333333333333,11.3333333333333,4.25,11.3333333333333,10,14.7826086956522,28.3333333333333,170,8.12765957446809,7.63,54.8571428571429,7.4,12,22.8064516129032,10.2666666666667,170,8.12765957446809,7.63,38.5714285714286,1.6,10,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,2,8.45161290322581,0,0,178.692907801418,115.858466666667,331.207261904762,238.782666666667,153.62,185.924684431978,194.546,1336.2,114.809503546099,55.8866666666667,28.0358333333333,226.206666666667,59.3,73.095652173913,113.85,0,63.8834042553192,59.9718,303.171428571429,12.576,94.32,112.829032258065,80.696,1336.2,2.801,1
"8",1,6,0,0,1,5,1,4,3,4,0,1,250000,1,0,2,1,1,1,1,0,0,1,1,1,1,1,82.0195035460993,15.2633333333333,19.1666666666667,279.583333333333,21.9166666666667,15,20,0,27.2943262411348,26.7966666666667,62.0446428571429,26.5666666666667,40.1597787245739,40,58.1833333333333,287.5,19.1666666666667,19.1666666666667,7.1875,19.1666666666667,16.9117647058824,25,47.9166666666667,287.5,8.12765957446809,7.63,54.8571428571429,7.4,23.2480140186916,15,10.2666666666667,287.5,8.12765957446809,7.63,38.5714285714286,1.6,19.3480140186916,10,10.2666666666667,0,0,0,16.2857142857143,5.8,3.9,5,0,0,221.227907801418,150.560133333333,350.584970238095,367.484333333333,271.1092921477,231.15,289.0085,2259.75,157.344503546099,90.5883333333333,47.4135416666667,354.908333333333,88.3799019607843,113.25,208.3125,0,63.8834042553191,59.9718,303.171428571429,12.576,182.729390186916,117.9,80.696,2259.75,2.136,1
"9",1,5,0,0,1,2,0,4,3,4,0,4,50000,1,0,3,2,1,0,1,0,0,1,1,1,1,1,121.269503546099,28.3466666666667,45.3333333333333,606.666666666667,45,30,20,0,53.4609929078014,52.9633333333333,71.8571428571429,52.7333333333333,60,81.9368863955119,123.6,680,45.3333333333333,45.3333333333333,17,45.3333333333333,40,59.1304347826087,113.333333333333,680,8.12765957446809,7.63,54.8571428571429,7.4,20,22.8064516129032,10.2666666666667,680,8.12765957446809,7.63,38.5714285714286,1.6,15,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,5,8.45161290322581,0,0,363.312907801418,266.478466666667,415.314761904762,797.402666666667,359.4,375.211640953717,546.096,5344.8,299.429503546099,206.506666666667,112.143333333333,784.826666666667,202.2,262.382608695652,465.4,0,63.8834042553191,59.9718,303.171428571429,12.576,157.2,112.829032258065,80.696,5344.8,1.109,1
"10",1,5,0,1,0,3,0,4,4,1,0,1,90000,0,0,0,0,1,1,0,0,0,1,1,1,1,1,78.7695035460993,14.18,17,252.5,25,15,12.5,0,25.1276595744681,24.63,61.2321428571429,24.4,36,44.9803646563815,52.7666666666667,255,17,17,6.375,17,15,22.1739130434783,42.5,255,8.12765957446809,7.63,54.8571428571429,7.4,21,22.8064516129032,10.2666666666667,255,8.12765957446809,7.63,38.5714285714286,1.6,20,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,1,8.45161290322581,0,0,209.462907801418,140.9618,345.225178571429,331.886,249.01,214.972510518934,260.221,2004.3,145.579503546099,80.99,42.05375,319.31,83.95,102.14347826087,179.525,0,63.8834042553192,59.9718,303.171428571429,12.576,165.06,112.829032258065,80.696,2004.3,2.801,1
